Ethernet Port Traffic Performance Statistics,Ethernet Port Traffic Performance Statistics,2022-05-10 00:00:00,89        
DeviceID,DeviceName,ResourceName,CollectionTime,GranularityPeriod,The upstream discarded packets,The downstream discarded packets,Tx Rate,Rx Rate,Total Number of TX Octets,Total Number of RX Octets,Tx Bandwidth Occupancy,Rx Bandwidth Occupancy,Tx Octets During Collection Period,Rx Octets During Collection Period,Total Number of Rx Frames,Total Number of Tx Frames
7340069,LIM_UCAY_OLT_1,LIM_UCAY_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.78,39.09,14817910,235938888,0.01,0.39,,,,
7340069,LIM_UCAY_OLT_1,LIM_UCAY_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,2.80,0.01,16978894,903504,0.03,0.00,,,,
7340091,LIM_BATA_OLT_1,LIM_BATA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.36,0.37,4513317,1030539,0.00,0.00,,,,
7340091,LIM_BATA_OLT_1,LIM_BATA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.26,5.07,4991322,47664726,0.00,0.05,,,,
7340083,LIM_CHQE_OLT_1,LIM_CHQE_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,10891,7627,0.00,0.00,,,,
7340083,LIM_CHQE_OLT_1,LIM_CHQE_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,169,7978,0.00,0.00,,,,
7340080,LIM_JOCK_OLT_1,LIM_JOCK_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.17,0.02,882433,233206,0.00,0.00,,,,
7340080,LIM_JOCK_OLT_1,LIM_JOCK_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.01,3.15,618480,8773384,0.00,0.03,,,,
7340077,LIM_TREN_OLT_1,LIM_TREN_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,2.57,54.68,26019651,353848894,0.03,0.55,,,,
7340077,LIM_TREN_OLT_1,LIM_TREN_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,1.03,0.02,19382764,2362985,0.01,0.00,,,,
167772160,LIM_MSCC_OLT_1,LIM_MSCC_OLT_1/Frame:0/Slot:3/Port:0,2022-05-10 00:00:00,5,,,1.35,0.07,822715,2938156,0.01,0.00,,,,
167772160,LIM_MSCC_OLT_1,LIM_MSCC_OLT_1/Frame:0/Slot:4/Port:0,2022-05-10 00:00:00,5,,,0.01,0.03,780993,2346635,0.00,0.00,,,,
7340076,LIM_DICA_OLT_1,LIM_DICA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.01,0.02,891659,16470682,0.00,0.00,,,,
7340076,LIM_DICA_OLT_1,LIM_DICA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,766836,3967,0.00,0.00,,,,
7340070,LIM_BOLI_OLT_1,LIM_BOLI_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.13,2.36,3217312,26298480,0.00,0.02,,,,
7340070,LIM_BOLI_OLT_1,LIM_BOLI_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.04,0.01,2665603,618160,0.00,0.00,,,,
7340055,LIM_SNMA_OLT_1,LIM_SNMA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,33.34,111.94,73766371,82928287,0.33,1.12,,,,
7340055,LIM_SNMA_OLT_1,LIM_SNMA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,10.81,19.10,9719356,80906126,0.11,0.19,,,,
7340089,LIM_POLO_OLT_1,LIM_POLO_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,174,7231,0.00,0.00,,,,
7340089,LIM_POLO_OLT_1,LIM_POLO_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,9653,7156,0.00,0.00,,,,
7340095,LIM_UCAM_OLT_1,LIM_UCAM_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.58,42.47,7038948,136910360,0.01,0.42,,,,
7340095,LIM_UCAM_OLT_1,LIM_UCAM_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,1.43,0.02,10737119,550098,0.01,0.00,,,,
7340079,LIM_SANG_OLT_1,LIM_SANG_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.08,0.11,163834,287672,0.00,0.00,,,,
7340079,LIM_SANG_OLT_1,LIM_SANG_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.05,1194,156118,0.00,0.00,,,,
7340073,LIM_CAMS_OLT_2,LIM_CAMS_OLT_2/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.01,0.00,11851,7632,0.00,0.00,,,,
7340073,LIM_CAMS_OLT_2,LIM_CAMS_OLT_2/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,174,8912,0.00,0.00,,,,
7340064,LIM_LVEG_OLT_1,LIM_LVEG_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.69,0.00,354097,30886,0.01,0.00,,,,
7340064,LIM_LVEG_OLT_1,LIM_LVEG_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.25,25.42,283395,6954888,0.00,0.25,,,,
7340057,LIM_SHEL_OLT_1,LIM_SHEL_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.37,10.09,4334055,54805141,0.00,0.10,,,,
7340057,LIM_SHEL_OLT_1,LIM_SHEL_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,5.93,15.71,47435871,54285800,0.06,0.16,,,,
7340054,LIM_MNCP_OLT_1,LIM_MNCP_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,2.10,41.12,4334959,25646788,0.02,0.41,,,,
7340054,LIM_MNCP_OLT_1,LIM_MNCP_OLT_1/Frame:0/Slot:8/Port:1,2022-05-10 00:00:00,5,,,0.98,52.08,712765,17352452,0.01,0.52,,,,
7340054,LIM_MNCP_OLT_1,LIM_MNCP_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.38,12.53,2669845,17417223,0.00,0.13,,,,
7340054,LIM_MNCP_OLT_1,LIM_MNCP_OLT_1/Frame:0/Slot:9/Port:1,2022-05-10 00:00:00,5,,,0.35,0.00,1131705,75669,0.00,0.00,,,,
7340060,LIM_PPIE_OLT_1,LIM_PPIE_OLT_1/Frame:0/Slot:3/Port:0,2022-05-10 00:00:00,5,,,0.01,0.01,2561450,19728414,0.00,0.00,,,,
7340060,LIM_PPIE_OLT_1,LIM_PPIE_OLT_1/Frame:0/Slot:4/Port:0,2022-05-10 00:00:00,5,,,0.01,0.01,179088,17977173,0.00,0.00,,,,
7340068,LIM_BAUS_OLT_1,LIM_BAUS_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,1.66,0.00,1971749,126024,0.02,0.00,,,,
7340068,LIM_BAUS_OLT_1,LIM_BAUS_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,2.21,34.96,1977359,27908948,0.02,0.35,,,,
7340078,LIM_PSIC_OLT_1,LIM_PSIC_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.16,6.57,163726,4310850,0.00,0.07,,,,
7340078,LIM_PSIC_OLT_1,LIM_PSIC_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.01,0.00,430032,3415,0.00,0.00,,,,
7340058,LIM_CAMS_OLT_1,LIM_CAMS_OLT_1/Frame:0/Slot:3/Port:0,2022-05-10 00:00:00,5,,,0.01,0.01,694649,1715236,0.00,0.00,,,,
7340058,LIM_CAMS_OLT_1,LIM_CAMS_OLT_1/Frame:0/Slot:4/Port:0,2022-05-10 00:00:00,5,,,0.01,0.01,65665,1783728,0.00,0.00,,,,
7340063,LIM_MPLZ_OLT_1,LIM_MPLZ_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,28.36,0.02,11204963,135631,0.28,0.00,,,,
7340063,LIM_MPLZ_OLT_1,LIM_MPLZ_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.38,579.38,547639,144400816,0.00,5.79,,,,
7340087,LIM_JCHA_OLT_1,LIM_JCHA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.01,0.01,403361,21630,0.00,0.00,,,,
7340087,LIM_JCHA_OLT_1,LIM_JCHA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.13,2.42,64905,2554123,0.00,0.02,,,,
7340084,LIM_STAN_OLT_1,LIM_STAN_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.03,1.28,604415,5777620,0.00,0.01,,,,
7340084,LIM_STAN_OLT_1,LIM_STAN_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.09,0.00,103320,347392,0.00,0.00,,,,
7340056,LIM_MTSR_OLT_1,LIM_MTSR_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,8.85,12.83,24765501,64801951,0.09,0.13,,,,
7340056,LIM_MTSR_OLT_1,LIM_MTSR_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.36,9.53,5334255,62627808,0.00,0.10,,,,
7340085,LIM_HIGR_OLT_1,LIM_HIGR_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.01,0.11,5539944,21465503,0.00,0.00,,,,
7340085,LIM_HIGR_OLT_1,LIM_HIGR_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,1.30,0.00,2012716,1342390,0.01,0.00,,,,
7340062,LIM_PZSM_OLT_1,LIM_PZSM_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.30,11.63,985639,20710525,0.00,0.12,,,,
7340062,LIM_PZSM_OLT_1,LIM_PZSM_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.32,1890196,1163898,0.00,0.00,,,,
7340090,LIM_ROSA_OLT_1,LIM_ROSA_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.55,6.38,6774272,42902389,0.01,0.06,,,,
7340090,LIM_ROSA_OLT_1,LIM_ROSA_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.28,0.98,2309825,6830585,0.00,0.01,,,,
7340088,LIM_DIAM_OLT_1,LIM_DIAM_OLT_1/Frame:0/Slot:8/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,170,7202,0.00,0.00,,,,
7340088,LIM_DIAM_OLT_1,LIM_DIAM_OLT_1/Frame:0/Slot:9/Port:0,2022-05-10 00:00:00,5,,,0.00,0.00,9930,7464,0.00,0.00,,,,
